Cam-Boh Trail	Saguaro National Park	Arizona	7885.766	3	out and back			
Hermit Trail to Granite Rapids Campground	Grand Canyon National Park	Arizona	35244.546	5	out and back	 river	 views	
Tanner Beach and Lava Rapids Trail	Grand Canyon National Park	Arizona	31864.932	3	out and back	 river	 views	 wild-flowers
Ken Patrick Trail South from Point Imperial	Grand Canyon National Park	Arizona	15610.598	5	point to point	 forest	 views	 wild-flowers
Shantz and  Mesquite and  Loma and Cholla Trail Loop	Saguaro National Park	Arizona	8207.634	1	loop			
South Kaibab and  North Kaibab and Bright Angel Trail	Grand Canyon National Park	Arizona	57614.372	7	point to point	 cave	 dogs-no	 forest
Cow Head Saddle Trail	Saguaro National Park	Arizona	41842.84	5	out and back	 river	 views	 wild-flowers
Hermit Camp to Monument Creek Camp via Tonto Trail	Grand Canyon National Park	Arizona	10138.842	3	out and back	 views		
Walhalla Ruins	Grand Canyon National Park	Arizona	160.934	1	out and back	 dogs-no	 forest	 kid-friendly
Deer Creek to Colorado River	Grand Canyon National Park	Arizona	29450.922	7	out and back	 river	 views	 waterfall
Ironwood Forest Picture Rocks Wash Trail	Saguaro National Park	Arizona	6276.426	3	loop	 views		
Blue Springs Trail	Grand Canyon National Park	Arizona	27358.78	3	out and back	 views		
North Bass Trail	Grand Canyon National Park	Arizona	35888.282	7	out and back	 views	 wild-flowers	 wildlife
South Canyon	Grand Canyon National Park	Arizona	17380.872	7	out and back	 river	 views	
Arizona Trail #36	Grand Canyon National Park	Arizona	27036.912	5	point to point	 views	 wild-flowers	 wildlife
South Bass to Hermits Rest via Tonto West	Grand Canyon National Park	Arizona	66465.742	7	point to point	 historic-site	 river	 views
Encinas Trail from Ez-Kim-In-Zin Picnic Area	Saguaro National Park	Arizona	11748.182	3	out and back	 views	 wild-flowers	 wildlife
Tanner and Beamer Trail	Grand Canyon National Park	Arizona	49567.672	3	out and back	 river	 views	 wildlife
Palisades Creek Trail	Grand Canyon National Park	Arizona	36371.084	3	out and back	 river	 views	
Powell Plateau Trail	Grand Canyon National Park	Arizona	8046.7	3	out and back	 forest	 kid-friendly	 views
First Forest Point	Petrified Forest National Park	Arizona	7081.096	3	out and back	 views		
Valley View and Wild Dog Trails	Saguaro National Park	Arizona	4345.218	3	loop	 views	 wild-flowers	 wildlife
Shantz and  Vanover and  Loma Verde and  Cholla and  Cactus Forest Trail Loop	Saguaro National Park	Arizona	8207.634	3	loop	 kid-friendly	 wild-flowers	
Tiyo Point Trail	Grand Canyon National Park	Arizona	32669.602	3	out and back	 views		
Hugh Norris and  Sendero Esperanza and  Dobbie Wash Loop	Saguaro National Park	Arizona	10299.776	3	loop			
Hope Camp to Grass Shack Camp Trail	Saguaro National Park	Arizona	15449.664	7	point to point	 forest	 historic-site	 river
AZ Trail Segment 37	Grand Canyon National Park	Arizona	35888.282	3	point to point	 views		
Schmutz Spring	Grand Canyon National Park	Arizona	8851.37	3	out and back			
Horseshoe Mesa Loop via Grand View Trail	Grand Canyon National Park	Arizona	19633.948	5	loop	 views	 wildlife	
Arizona Trail: Savilla Campground to Saguaro National Park	Saguaro National Park	Arizona	13196.588	3	point to point	 wild-flowers		
Thunder River Trail from Indian Hollow Parking Area	Grand Canyon National Park	Arizona	46188.058	5	out and back	 views	 wild-flowers	
North Bass Trail to Muav Cabin	Grand Canyon National Park	Arizona	2414.01	1	out and back	 forest	 kid-friendly	 views
Douglas Spring and  Converse and  Garwood  and Wildhorse Loop	Saguaro National Park	Arizona	5471.756	1	loop	 river	 views	 wildlife
Redington Pass Chiva Falls OHV Loop	Saguaro National Park	Arizona	32830.536	3	loop			
Sunset Trail	Hot Springs National Park	Arkansas	20921.42	5	loop	 forest	 hot-springs	 views
West Mountain Trail	Hot Springs National Park	Arkansas	3057.746	3	loop	 forest	 kid-friendly	 views
Goat Rock Trail	Hot Springs National Park	Arkansas	3862.416	3	out and back	 forest	 kid-friendly	 views
Gulpha Gorge Trail	Hot Springs National Park	Arkansas	1931.208	3	out and back	 forest	 views	 wild-flowers
The Grand Promenade and Side Trails	Hot Springs National Park	Arkansas	1931.208	3	loop	 kid-friendly	 partially-paved	
Dead Chief Trail	Hot Springs National Park	Arkansas	4345.218	3	out and back	 forest	 kid-friendly	 views
Hot Springs Mountain Trail	Hot Springs National Park	Arkansas	5310.822	1	loop	 forest	 kid-friendly	 views
Peak Trail	Hot Springs National Park	Arkansas	2092.142	1	out and back	 forest	 kid-friendly	 views
Sugarloaf Mountain Via Sunset Trail	Hot Springs National Park	Arkansas	11426.314	3	out and back	 forest	 views	 wild-flowers
Goat Rock via Dead Chief Trail	Hot Springs National Park	Arkansas	2092.142	3	out and back	 views	 wildlife	
Grand Promenade	Hot Springs National Park	Arkansas	1126.538	1	out and back	 dogs-leash	 forest	 kid-friendly
Hot Springs Sunset Trail Full Circle	Hot Springs National Park	Arkansas	20599.552	7	loop	 dogs-leash	 forest	 historic-site
Sunset Trail: Sugarloaf Mountain Section	Hot Springs National Park	Arkansas	4667.086	3	point to point	 views		
Upper Dogwood Trail	Hot Springs National Park	Arkansas	2253.076	1	loop	 dogs-leash	 forest	 historic-site
Mountaintop Loop	Hot Springs National Park	Arkansas	2092.142	1	loop	 kid-friendly	 views	 wildlife
Lower Dogwood Trail	Hot Springs National Park	Arkansas	2574.944	1	loop	 dogs-leash	 forest	 kid-friendly
Vernal and Nevada Falls via the Mist Trail	Yosemite National Park	California	10299.776	3	loop	 forest	 partially-paved	 river
Upper Yosemite Falls Trail	Yosemite National Park	California	11587.248	7	out and back	 forest	 river	 views
Half Dome Trail	Yosemite National Park	California	23818.232	7	out and back	 forest	 partially-paved	 river
Moro Rock Trail	Sequoia National Park	California	643.736	3	out and back	 river	 views	 waterfall
Lower Yosemite Falls Trail	Yosemite National Park	California	1609.34	1	loop	 dogs-leash	 forest	 kid-friendly
Clouds Rest Trail via Tenaya Lake	Yosemite National Park	California	19794.882	5	out and back	 forest	 lake	 views
